adult,budget,genres,id,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,status,title,video,vote_average,vote_count
False,40000000,"['Drama', 'Romance', 'Thriller']",216015,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.",182.57,['United States of America'],2015-02-11,569651467,125,['English'],Released,Fifty Shades of Grey,False,5.883,11753
False,175000000,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']",150540,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",132.764,['United States of America'],2015-06-17,857611174,95,['English'],Released,Inside Out,False,7.911,21998
False,15000000,"['Horror', 'Comedy', 'Fantasy']",287903,"When his dysfunctional family clashes over the holidays, young Max is disillusioned and turns his back on Christmas.  Little does he know, this lack of festive spirit has unleashed the wrath of Krampus: a demonic force of ancient evil intent on punishing non-believers.",119.984,['United States of America'],2015-11-26,61800000,98,"['Deutsch', 'English']",Released,Krampus,False,6.207,2170
False,150000000,"['Action', 'Adventure', 'Science Fiction']",76341,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",102.632,"['Australia', 'United States of America']",2015-05-13,378858340,121,['English'],Released,Mad Max: Fury Road,False,7.617,22607
False,15000000,"['Comedy', 'Horror']",273477,"Three scouts and lifelong friends join forces with one badass cocktail waitress to become the world’s most unlikely team of heroes.  When their peaceful town is ravaged by a zombie invasion, they’ll fight for the badge of a lifetime and put their scouting skills to the test to save mankind from the undead.",87.121,['United States of America'],2015-10-23,14900000,93,['English'],Released,Scouts Guide to the Zombie Apocalypse,False,6.536,1915
False,95000000,"['Romance', 'Fantasy', 'Family', 'Drama']",150689,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.",94.466,"['United Kingdom', 'United States of America']",2015-03-06,543514353,105,['English'],Released,Cinderella,False,6.82,7059
False,150000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",135397,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",62.588,['United States of America'],2015-06-06,1671537444,124,['English'],Released,Jurassic World,False,6.692,20323
False,0,['Drama'],387824,"Seong Soo, a twenty years old boy, decided to move to Seoul after being accepted into Seoul University. However, he was a victim of real estate scam. He then moves into his mother's friend's house. Moreover, it turns out that his mother's friend is a sexy self-employed mother and Seong Soo is attracted to her.",89.682,['South Korea'],2015-08-20,0,91,['한국어/조선말'],Released,Mom's Friend,False,6.4,16
False,365000000,"['Action', 'Adventure', 'Science Fiction']",99861,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",73.672,['United States of America'],2015-04-22,1405403694,141,['English'],Released,Avengers: Age of Ultron,False,7.274,22978
False,44000000,"['Drama', 'Mystery', 'Western']",273248,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,53.83,['United States of America'],2015-12-25,155760117,188,"['Español', 'English']",Released,The Hateful Eight,False,7.754,14173
False,68000000,"['Comedy', 'Fantasy']",214756,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",62.622,['United States of America'],2015-06-25,215863606,115,['English'],Released,Ted 2,False,6.308,7439
False,0,"['Romance', 'Drama']",351523,"Dongchul, who is managing a small bar, is always enthusiastic about his school reunions. One day, Yujin, who has never showed up to a reunion, shows up at his bar. Her baby face and vitality make her unlike other married women and all the men fall for her, especially Dongchul. They start a relationship but it abruptly flames out due to the sudden arrival of Dongchul’s wife. As they get to know each other's secrets, will their love be allowed to grow?",76.437,['South Korea'],2015-08-06,0,100,['한국어/조선말'],Released,Purpose of Reunion,False,5.263,19
False,190000000,"['Action', 'Thriller', 'Crime']",168259,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,63.966,['United States of America'],2015-04-01,1515400000,137,"['العربية', 'English', 'Español', 'ภาษาไทย']",Released,Furious 7,False,7.2,10606
